,Unnamed: 0.2,Unnamed: 0.1,Epoch,accuracy,programme,libelle,id
98,98.0,98.0,19,0.2718116641044616,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
99,99.0,99.0,20,0.274602323770523,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
100,100.0,100.0,21,0.2785346508026123,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
101,101.0,101.0,22,0.2819595634937286,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
102,102.0,102.0,23,0.2874901592731476,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
103,103.0,103.0,24,0.2885303199291229,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
104,104.0,104.0,25,0.2902808487415313,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
105,105.0,105.0,26,0.2951011061668396,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
106,106.0,106.0,27,0.2950249910354614,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
107,107.0,107.0,28,0.3028388619422912,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
108,108.0,108.0,29,0.3041073679924011,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
109,109.0,109.0,30,0.3071770966053009,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
110,110.0,110.0,31,0.3098155558109283,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
111,111.0,111.0,32,0.3113631308078766,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
112,112.0,112.0,33,0.3134941756725311,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
113,113.0,113.0,34,0.3155491352081299,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
114,114.0,114.0,35,0.3222721219062805,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
115,115.0,115.0,36,0.3260268270969391,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
116,116.0,116.0,37,0.328157901763916,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
117,117.0,117.0,38,0.3308217227458954,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
